Order Date,data_source,Country,CC VS APM,First Payment Method,Psp Operation Status,Psp Actionability,Fail Order Count,Order Count
2026-01-01,Efood,Greece,Credit Card,googlepay,FRAUD_RISK,Non-actionable,200,310
2026-01-01,Efood,Greece,Credit Card,googlepay,GENERIC_REJECTION,Non-actionable,105,273
2026-01-01,Efood,Greece,Credit Card,googlepay,INSUFFICIENT_FUNDS,Non-actionable,1289,3292
2026-01-01,Efood,Greece,Credit Card,googlepay,STATUS_MISMATCH,Actionable,11,11
2026-01-01,Glovo,Armenia,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,0,1
2026-01-01,Glovo,Armenia,Credit Card,apple_pay,GENERIC_REJECTION,unknown,156,337
2026-01-01,Glovo,Armenia,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,0,1
2026-01-01,Glovo,Armenia,Credit Card,apple_pay,INSUFFICIENT_FUNDS,unknown,291,477
2026-01-01,Glovo,Armenia,Credit Card,apple_pay,unknown,unknown,221,34734
2026-01-01,Glovo,Armenia,Credit Card,credit_card,AUTH_FAILED,unknown,121,158
2026-01-01,Glovo,Armenia,Credit Card,credit_card,FRAUD_RISK,unknown,1,2
2026-01-01,Glovo,Armenia,Credit Card,credit_card,GENERIC_REJECTION,unknown,141,244
2026-01-01,Glovo,Armenia,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,732,1323
2026-01-01,Glovo,Armenia,Credit Card,credit_card,Redirection Failure,unknown,72,98
2026-01-01,Glovo,Armenia,Credit Card,credit_card,unknown,unknown,64,54173
2026-01-01,Glovo,Armenia,Credit Card,google_pay,3DS_DROPPED,Non-actionable,89,110
2026-01-01,Glovo,Armenia,Credit Card,google_pay,FRAUD_RISK,Non-actionable,5,6
2026-01-01,Glovo,Armenia,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,11,47
2026-01-01,Glovo,Armenia,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,91,123
2026-01-01,Glovo,Armenia,Credit Card,google_pay,STATUS_MISMATCH,Actionable,4,4
2026-01-01,Glovo,Armenia,Credit Card,google_pay,unknown,unknown,21,28
2026-01-01,Glovo,Bosnia and Herzegovina,Credit Card,credit_card,AUTH_FAILED,unknown,426,830
2026-01-01,Glovo,Bosnia and Herzegovina,Credit Card,credit_card,FRAUD_RISK,unknown,10,10
2026-01-01,Glovo,Bosnia and Herzegovina,Credit Card,credit_card,GENERIC_REJECTION,unknown,982,2175
2026-01-01,Glovo,Bosnia and Herzegovina,Credit Card,credit_card,Redirection Failure,unknown,135,213
2026-01-01,Glovo,Bosnia and Herzegovina,Credit Card,credit_card,unknown,unknown,386,60200
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,AUTH_FAILED,Non-actionable,1,3
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,33,46
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,879,1383
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,170,270
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,STATUS_MISMATCH,Actionable,14,14
2026-01-01,Glovo,Bulgaria,Credit Card,apple_pay,unknown,unknown,265,293
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,3DS_DROPPED,Non-actionable,555,810
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,AUTH_FAILED,Non-actionable,107,195
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,AUTH_FAILED,unknown,5,15
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,FRAUD_RISK,Non-actionable,90,159
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,FRAUD_RISK,unknown,61,123
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,25,46
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,GENERIC_REJECTION,unknown,1,1
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,1661,3713
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,1,1
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,Redirection Failure,unknown,36,55
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,STATUS_MISMATCH,Actionable,11,11
2026-01-01,Glovo,Bulgaria,Credit Card,credit_card,unknown,unknown,244,3492
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,3DS_DROPPED,Non-actionable,263,420
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,AUTH_FAILED,Non-actionable,26,73
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,FRAUD_RISK,Non-actionable,32,47
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,193,367
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,192,370
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,STATUS_MISMATCH,Actionable,3,3
2026-01-01,Glovo,Bulgaria,Credit Card,google_pay,unknown,unknown,84,99
2026-01-01,Glovo,Croatia,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,6,9
2026-01-01,Glovo,Croatia,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,250,450
2026-01-01,Glovo,Croatia,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,188,392
2026-01-01,Glovo,Croatia,Credit Card,apple_pay,STATUS_MISMATCH,Actionable,3,3
2026-01-01,Glovo,Croatia,Credit Card,apple_pay,unknown,unknown,63,71
2026-01-01,Glovo,Croatia,Credit Card,credit_card,3DS_DROPPED,Non-actionable,543,713
2026-01-01,Glovo,Croatia,Credit Card,credit_card,AUTH_FAILED,Non-actionable,44,63
2026-01-01,Glovo,Croatia,Credit Card,credit_card,AUTH_FAILED,unknown,3,7
2026-01-01,Glovo,Croatia,Credit Card,credit_card,FRAUD_RISK,Non-actionable,73,119
2026-01-01,Glovo,Croatia,Credit Card,credit_card,FRAUD_RISK,unknown,47,74
2026-01-01,Glovo,Croatia,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,44,83
2026-01-01,Glovo,Croatia,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,2327,4667
2026-01-01,Glovo,Croatia,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,1,1
2026-01-01,Glovo,Croatia,Credit Card,credit_card,Redirection Failure,unknown,25,25
2026-01-01,Glovo,Croatia,Credit Card,credit_card,STATUS_MISMATCH,Actionable,2,2
2026-01-01,Glovo,Croatia,Credit Card,credit_card,unknown,unknown,85,2720
2026-01-01,Glovo,Croatia,Credit Card,google_pay,3DS_DROPPED,Non-actionable,385,578
2026-01-01,Glovo,Croatia,Credit Card,google_pay,AUTH_FAILED,Non-actionable,2,4
2026-01-01,Glovo,Croatia,Credit Card,google_pay,FRAUD_RISK,Non-actionable,52,59
2026-01-01,Glovo,Croatia,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,101,195
2026-01-01,Glovo,Croatia,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,319,604
2026-01-01,Glovo,Croatia,Credit Card,google_pay,STATUS_MISMATCH,Actionable,5,5
2026-01-01,Glovo,Croatia,Credit Card,google_pay,unknown,unknown,57,78
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,16,23
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,FRAUD_RISK,unknown,5,12
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,2933,3821
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,407,604
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,INSUFFICIENT_FUNDS,unknown,1,3
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,STATUS_MISMATCH,Actionable,3,3
2026-01-01,Glovo,Georgia,Credit Card,apple_pay,unknown,unknown,348,249688
2026-01-01,Glovo,Georgia,Credit Card,credit_card,3DS_DROPPED,Non-actionable,62,68
2026-01-01,Glovo,Georgia,Credit Card,credit_card,AUTH_FAILED,Non-actionable,3,9
2026-01-01,Glovo,Georgia,Credit Card,credit_card,AUTH_FAILED,unknown,146,176
2026-01-01,Glovo,Georgia,Credit Card,credit_card,FRAUD_RISK,Non-actionable,109,219
2026-01-01,Glovo,Georgia,Credit Card,credit_card,FRAUD_RISK,unknown,73,110
2026-01-01,Glovo,Georgia,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,616,1296
2026-01-01,Glovo,Georgia,Credit Card,credit_card,GENERIC_REJECTION,unknown,142,177
2026-01-01,Glovo,Georgia,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,7887,14663
2026-01-01,Glovo,Georgia,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,588,822
2026-01-01,Glovo,Georgia,Credit Card,credit_card,Redirection Failure,unknown,150,163
2026-01-01,Glovo,Georgia,Credit Card,credit_card,STATUS_MISMATCH,Actionable,2,2
2026-01-01,Glovo,Georgia,Credit Card,credit_card,unknown,unknown,237,397885
2026-01-01,Glovo,Georgia,Credit Card,google_pay,3DS_DROPPED,Non-actionable,96,241
2026-01-01,Glovo,Georgia,Credit Card,google_pay,AUTH_FAILED,Non-actionable,1,2
2026-01-01,Glovo,Georgia,Credit Card,google_pay,FRAUD_RISK,Non-actionable,53,57
2026-01-01,Glovo,Georgia,Credit Card,google_pay,FRAUD_RISK,unknown,1,1
2026-01-01,Glovo,Georgia,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,694,1116
2026-01-01,Glovo,Georgia,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,312,620
2026-01-01,Glovo,Georgia,Credit Card,google_pay,STATUS_MISMATCH,Actionable,1,1
2026-01-01,Glovo,Georgia,Credit Card,google_pay,unknown,unknown,782,58933
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_apple_pay,FRAUD_RISK,unknown,2,4
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_apple_pay,GENERIC_REJECTION,unknown,42,113
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_apple_pay,INSUFFICIENT_FUNDS,unknown,1,5
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_apple_pay,unknown,unknown,1261,19682
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,3DS_DROPPED,unknown,4,5
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,FRAUD_RISK,unknown,16,35
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,GENERIC_REJECTION,unknown,4,15
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,INSUFFICIENT_FUNDS,Non-actionable,0,3
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,INSUFFICIENT_FUNDS,unknown,63,135
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_credit_card,unknown,unknown,3107,18004
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_google_pay,FRAUD_RISK,unknown,1,2
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_google_pay,GENERIC_REJECTION,unknown,9,20
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_google_pay,unknown,unknown,309,4200
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_paypal,FRAUD_RISK,unknown,6,10
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_paypal,GENERIC_REJECTION,unknown,25,81
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_paypal,INSUFFICIENT_FUNDS,unknown,10,33
2026-01-01,Glovo,Italy,Alternative Payment Method,edenred_paypal,unknown,unknown,1882,12791
2026-01-01,Glovo,Italy,Alternative Payment Method,paypal,AUTH_FAILED,Non-actionable,2,2
2026-01-01,Glovo,Italy,Alternative Payment Method,paypal,FRAUD_RISK,Non-actionable,0,3
2026-01-01,Glovo,Italy,Alternative Payment Method,paypal,GENERIC_REJECTION,unknown,198,522
2026-01-01,Glovo,Italy,Alternative Payment Method,paypal,INSUFFICIENT_FUNDS,Non-actionable,1,10
2026-01-01,Glovo,Italy,Alternative Payment Method,paypal,unknown,unknown,571,421107
2026-01-01,Glovo,Italy,Credit Card,apple_pay,AUTH_FAILED,Non-actionable,12,24
2026-01-01,Glovo,Italy,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,252,443
2026-01-01,Glovo,Italy,Credit Card,apple_pay,FRAUD_RISK,unknown,1,5
2026-01-01,Glovo,Italy,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,3413,5601
2026-01-01,Glovo,Italy,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,3517,5729
2026-01-01,Glovo,Italy,Credit Card,apple_pay,INSUFFICIENT_FUNDS,unknown,0,1
2026-01-01,Glovo,Italy,Credit Card,apple_pay,STATUS_MISMATCH,Actionable,192,192
2026-01-01,Glovo,Italy,Credit Card,apple_pay,unknown,unknown,2753,3347
2026-01-01,Glovo,Italy,Credit Card,credit_card,3DS_DROPPED,Non-actionable,11423,14429
2026-01-01,Glovo,Italy,Credit Card,credit_card,AUTH_FAILED,Non-actionable,3264,5169
2026-01-01,Glovo,Italy,Credit Card,credit_card,AUTH_FAILED,unknown,169,213
2026-01-01,Glovo,Italy,Credit Card,credit_card,FRAUD_RISK,Non-actionable,1311,2233
2026-01-01,Glovo,Italy,Credit Card,credit_card,FRAUD_RISK,unknown,1042,1567
2026-01-01,Glovo,Italy,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,691,1174
2026-01-01,Glovo,Italy,Credit Card,credit_card,GENERIC_REJECTION,unknown,84,169
2026-01-01,Glovo,Italy,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,25352,44071
2026-01-01,Glovo,Italy,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,413,747
2026-01-01,Glovo,Italy,Credit Card,credit_card,Redirection Failure,unknown,492,596
2026-01-01,Glovo,Italy,Credit Card,credit_card,STATUS_MISMATCH,Actionable,84,84
2026-01-01,Glovo,Italy,Credit Card,credit_card,unknown,unknown,2035,28513
2026-01-01,Glovo,Italy,Credit Card,google_pay,3DS_DROPPED,Non-actionable,3612,5106
2026-01-01,Glovo,Italy,Credit Card,google_pay,AUTH_FAILED,Non-actionable,253,400
2026-01-01,Glovo,Italy,Credit Card,google_pay,FRAUD_RISK,Non-actionable,307,526
2026-01-01,Glovo,Italy,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,609,1024
2026-01-01,Glovo,Italy,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,2108,3591
2026-01-01,Glovo,Italy,Credit Card,google_pay,STATUS_MISMATCH,Actionable,32,32
2026-01-01,Glovo,Italy,Credit Card,google_pay,unknown,unknown,652,815
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,AUTH_FAILED,Non-actionable,2,2
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,41,58
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,FRAUD_RISK,unknown,1,1
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,5,5
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,113,194
2026-01-01,Glovo,Ivory Coast,Credit Card,apple_pay,unknown,unknown,7,173
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,3DS_DROPPED,Non-actionable,1811,2564
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,AUTH_FAILED,Non-actionable,1,3
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,AUTH_FAILED,unknown,16,24
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,FRAUD_RISK,Non-actionable,478,899
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,FRAUD_RISK,unknown,69,82
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,218,470
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,GENERIC_REJECTION,unknown,4,8
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,1989,6205
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,1,5
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,Redirection Failure,unknown,99,109
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,STATUS_MISMATCH,Actionable,7,7
2026-01-01,Glovo,Ivory Coast,Credit Card,credit_card,unknown,unknown,21,1879
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,3DS_DROPPED,Non-actionable,352,528
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,AUTH_FAILED,Non-actionable,1,5
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,FRAUD_RISK,Non-actionable,104,134
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,FRAUD_RISK,unknown,1,1
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,13,31
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,278,817
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,INSUFFICIENT_FUNDS,unknown,1,4
2026-01-01,Glovo,Ivory Coast,Credit Card,google_pay,unknown,unknown,30,138
2026-01-01,Glovo,Kazakhstan,Alternative Payment Method,kaspi,unknown,unknown,17324,202625
2026-01-01,Glovo,Kazakhstan,Alternative Payment Method,kaspi_direct,unknown,unknown,4954,25458
2026-01-01,Glovo,Kazakhstan,Credit Card,apple_pay,GENERIC_REJECTION,unknown,0,83
2026-01-01,Glovo,Kazakhstan,Credit Card,apple_pay,INSUFFICIENT_FUNDS,unknown,410,1096
2026-01-01,Glovo,Kazakhstan,Credit Card,apple_pay,Redirection Failure,unknown,0,3
2026-01-01,Glovo,Kazakhstan,Credit Card,apple_pay,unknown,unknown,246,46968
2026-01-01,Glovo,Kazakhstan,Credit Card,credit_card,FRAUD_RISK,unknown,21,31
2026-01-01,Glovo,Kazakhstan,Credit Card,credit_card,GENERIC_REJECTION,unknown,867,2084
2026-01-01,Glovo,Kazakhstan,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,3506,6201
2026-01-01,Glovo,Kazakhstan,Credit Card,credit_card,Redirection Failure,unknown,289,336
2026-01-01,Glovo,Kazakhstan,Credit Card,credit_card,unknown,unknown,232,285854
2026-01-01,Glovo,Kazakhstan,Credit Card,google_pay,FRAUD_RISK,unknown,1,2
2026-01-01,Glovo,Kazakhstan,Credit Card,google_pay,GENERIC_REJECTION,unknown,1,13
2026-01-01,Glovo,Kazakhstan,Credit Card,google_pay,INSUFFICIENT_FUNDS,unknown,147,229
2026-01-01,Glovo,Kazakhstan,Credit Card,google_pay,unknown,unknown,333,11211
2026-01-01,Glovo,Kenya,Alternative Payment Method,cellulant_native,FRAUD_RISK,unknown,22,32
2026-01-01,Glovo,Kenya,Alternative Payment Method,cellulant_native,GENERIC_REJECTION,unknown,7,10
2026-01-01,Glovo,Kenya,Alternative Payment Method,cellulant_native,INSUFFICIENT_FUNDS,unknown,1256,1673
2026-01-01,Glovo,Kenya,Alternative Payment Method,cellulant_native,unknown,unknown,9974,199464
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,AUTH_FAILED,Non-actionable,1,1
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,FRAUD_RISK,Non-actionable,89,124
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,GENERIC_REJECTION,Non-actionable,15,24
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,INSUFFICIENT_FUNDS,Non-actionable,270,404
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,STATUS_MISMATCH,Actionable,5,5
2026-01-01,Glovo,Kenya,Credit Card,apple_pay,unknown,unknown,41,422
2026-01-01,Glovo,Kenya,Credit Card,credit_card,3DS_DROPPED,Non-actionable,5138,5873
2026-01-01,Glovo,Kenya,Credit Card,credit_card,AUTH_FAILED,Non-actionable,7,18
2026-01-01,Glovo,Kenya,Credit Card,credit_card,AUTH_FAILED,unknown,125,139
2026-01-01,Glovo,Kenya,Credit Card,credit_card,FRAUD_RISK,Non-actionable,627,883
2026-01-01,Glovo,Kenya,Credit Card,credit_card,FRAUD_RISK,unknown,616,790
2026-01-01,Glovo,Kenya,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,271,491
2026-01-01,Glovo,Kenya,Credit Card,credit_card,GENERIC_REJECTION,unknown,22,25
2026-01-01,Glovo,Kenya,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,3558,7103
2026-01-01,Glovo,Kenya,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,8,9
2026-01-01,Glovo,Kenya,Credit Card,credit_card,Redirection Failure,unknown,359,380
2026-01-01,Glovo,Kenya,Credit Card,credit_card,unknown,unknown,126,118005
2026-01-01,Glovo,Kenya,Credit Card,google_pay,3DS_DROPPED,Non-actionable,1575,2389
2026-01-01,Glovo,Kenya,Credit Card,google_pay,AUTH_FAILED,Non-actionable,0,1
2026-01-01,Glovo,Kenya,Credit Card,google_pay,FRAUD_RISK,Non-actionable,308,413
2026-01-01,Glovo,Kenya,Credit Card,google_pay,FRAUD_RISK,unknown,1,2
2026-01-01,Glovo,Kenya,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,70,139
2026-01-01,Glovo,Kenya,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,993,2017
2026-01-01,Glovo,Kenya,Credit Card,google_pay,INSUFFICIENT_FUNDS,unknown,0,1
2026-01-01,Glovo,Kenya,Credit Card,google_pay,STATUS_MISMATCH,Actionable,3,3
2026-01-01,Glovo,Kenya,Credit Card,google_pay,unknown,unknown,129,593
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,3DS_DROPPED,Non-actionable,13,21
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,AUTH_FAILED,Non-actionable,179,492
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,FRAUD_RISK,Non-actionable,28,32
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,FRAUD_RISK,unknown,237,708
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,GENERIC_REJECTION,Non-actionable,24,58
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,GENERIC_REJECTION,unknown,3,4
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,INSUFFICIENT_FUNDS,Non-actionable,3048,6890
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,42,46
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,Redirection Failure,unknown,87,96
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,STATUS_MISMATCH,Actionable,1,1
2026-01-01,Glovo,Kyrgyzstan,Credit Card,credit_card,unknown,unknown,69,139576
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,3DS_DROPPED,Non-actionable,3,5
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,AUTH_FAILED,Non-actionable,12,27
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,FRAUD_RISK,Non-actionable,10,11
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,FRAUD_RISK,unknown,32,91
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,GENERIC_REJECTION,Non-actionable,70,152
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,INSUFFICIENT_FUNDS,Non-actionable,134,361
2026-01-01,Glovo,Kyrgyzstan,Credit Card,google_pay,unknown,unknown,504,8426
2026-01-01,Glovo,Moldova,Credit Card,credit_card,AUTH_FAILED,unknown,177,233
2026-01-01,Glovo,Moldova,Credit Card,credit_card,FRAUD_RISK,unknown,1,2
2026-01-01,Glovo,Moldova,Credit Card,credit_card,GENERIC_REJECTION,unknown,302,693
2026-01-01,Glovo,Moldova,Credit Card,credit_card,INSUFFICIENT_FUNDS,unknown,1079,2801
2026-01-01,Glovo,Moldova,Credit Card,credit_card,Redirection Failure,unknown,305,353
2026-01-01,Glovo,Moldova,Credit Card,credit_card,unknown,unknown,194,75638
2026-01-01,Glovo,Moldova,Credit Card,google_pay,unknown,unknown,1,1
2026-01-01,Glovo,Montenegro,Credit Card,credit_card,AUTH_FAILED,unknown,538,1093
